age,gender,marital_status,income,existing_debts,savings,assets,existing_loans,debt_to_income_ratio,credit_score,past_defaults,credit_utilization,credit_accounts,credit_inquiries,credit_history_length,occupation,job_title,employment_length,employment_type,years_current_job,loan_amount,loan_term,interest_rate,loan_purpose,loan_to_value_ratio,risk
25,Male,Single,40000,10000,5000,Car,1,0.25,680,0,0.40,3,1,4,IT,Developer,3,Full-Time,2,15000,36,10,Personal,0.70,Low
32,Female,Married,55000,20000,8000,Home,2,0.36,620,1,0.65,4,2,6,Finance,Accountant,5,Full-Time,4,20000,48,12,Home,0.80,Medium
45,Male,Married,70000,35000,12000,Home,3,0.50,580,2,0.75,5,3,10,Business,Manager,8,Self-Employed,6,30000,60,15,Business,0.85,High
29,Female,Single,48000,15000,6000,Car,1,0.31,710,0,0.30,3,1,5,Healthcare,Nurse,4,Full-Time,3,12000,24,9,Personal,0.60,Low
38,Male,Married,65000,25000,9000,Home,2,0.38,640,1,0.55,4,2,8,Education,Teacher,6,Full-Time,5,22000,36,11,Education,0.75,Medium
50,Male,Married,80000,45000,15000,Home,4,0.56,560,2,0.80,6,4,15,Business,Owner,10,Self-Employed,8,35000,72,16,Business,0.90,High
27,Female,Single,42000,12000,7000,Car,1,0.28,720,0,0.35,3,1,3,IT,Engineer,2,Full-Time,2,14000,36,10,Personal,0.65,Low
35,Male,Married,60000,22000,8500,Home,2,0.37,630,1,0.60,4,2,7,Finance,Analyst,5,Full-Time,4,21000,48,12,Home,0.78,Medium
48,Male,Married,75000,40000,11000,Home,3,0.52,570,2,0.78,5,3,12,Business,Manager,9,Self-Employed,7,32000,60,15,Business,0.88,High
30,Female,Single,50000,17000,7500,Car,1,0.34,690,0,0.45,3,1,5,Healthcare,Doctor,4,Full-Time,3,16000,36,10,Personal,0.70,Low
33,Male,Married,58000,21000,8200,Home,2,0.36,640,1,0.55,4,2,6,IT,Engineer,5,Full-Time,4,19000,48,11,Home,0.76,Medium
46,Female,Married,72000,36000,13000,Home,3,0.50,590,2,0.72,5,3,11,Business,Owner,8,Self-Employed,6,31000,60,14,Business,0.87,High
28,Male,Single,43000,11000,5200,Car,1,0.26,705,0,0.42,3,1,4,IT,Developer,3,Full-Time,2,15000,36,10,Personal,0.68,Low
37,Female,Married,62000,24000,8800,Home,2,0.39,635,1,0.58,4,2,8,Education,Professor,6,Full-Time,5,23000,48,12,Education,0.79,Medium
52,Male,Married,82000,47000,16000,Home,4,0.57,555,2,0.82,6,4,16,Business,Owner,11,Self-Employed,9,36000,72,17,Business,0.92,High
26,Female,Single,41000,10500,5400,Car,1,0.26,715,0,0.38,3,1,3,Healthcare,Nurse,2,Full-Time,2,13000,36,9,Personal,0.63,Low
34,Male,Married,59000,22000,8100,Home,2,0.37,645,1,0.60,4,2,7,Finance,Manager,5,Full-Time,4,20000,48,11,Home,0.77,Medium
49,Female,Married,76000,42000,12000,Home,3,0.53,565,2,0.79,5,3,13,Business,Owner,9,Self-Employed,7,33000,60,15,Business,0.89,High
31,Male,Single,51000,16000,7200,Car,1,0.32,700,0,0.44,3,1,5,IT,Engineer,4,Full-Time,3,17000,36,10,Personal,0.69,Low
36,Female,Married,63000,25000,9000,Home,2,0.40,638,1,0.59,4,2,8,Education,Teacher,6,Full-Time,5,24000,48,12,Education,0.80,Medium
54,Male,Married,84000,48000,17000,Home,4,0.58,550,2,0.83,6,4,18,Business,Owner,12,Self-Employed,10,37000,72,18,Business,0.93,High
24,Female,Single,39000,9000,4800,Car,1,0.23,725,0,0.35,2,1,2,IT,Intern,1,Full-Time,1,12000,24,8,Personal,0.60,Low
40,Male,Married,67000,27000,9200,Home,2,0.41,628,1,0.61,4,2,9,Finance,Analyst,6,Full-Time,5,25000,48,12,Home,0.81,Medium
55,Male,Married,86000,50000,18000,Home,4,0.59,545,2,0.85,6,4,20,Business,Owner,13,Self-Employed,11,38000,72,18,Business,0.94,High
23,Male,Single,38000,8500,4500,Car,1,0.22,730,0,0.33,2,1,2,IT,Intern,1,Full-Time,1,11000,24,8,Personal,0.58,Low
41,Female,Married,69000,29000,9500,Home,2,0.42,620,1,0.62,4,2,10,Healthcare,Doctor,7,Full-Time,6,26000,48,13,Home,0.82,Medium
56,Male,Married,88000,52000,19000,Home,4,0.60,540,2,0.86,6,4,21,Business,Owner,14,Self-Employed,12,39000,72,19,Business,0.95,High
22,Female,Single,36000,8000,4200,Car,1,0.21,735,0,0.32,2,1,1,IT,Intern,1,Full-Time,1,10000,24,7,Personal,0.55,Low
39,Male,Married,66000,26000,9100,Home,2,0.39,635,1,0.57,4,2,9,Finance,Manager,6,Full-Time,5,24000,48,12,Home,0.79,Medium
53,Female,Married,83000,47000,16500,Home,4,0.57,555,2,0.82,6,4,17,Business,Owner,11,Self-Employed,9,36000,72,17,Business,0.92,High
